alias,code,name,version,useInEditor,hero,item,sort,race,checkDep,levels,reqLevel,levelSkip,priority,targs1,Cast1,Dur1,HeroDur1,Cool1,Cost1,Area1,Rng1,DataA1,DataB1,DataC1,DataD1,DataE1,DataF1,DataG1,DataH1,DataI1,UnitID1,BuffID1,EfctID1,targs2,Cast2,Dur2,HeroDur2,Cool2,Cost2,Area2,Rng2,DataA2,DataB2,DataC2,DataD2,DataE2,DataF2,DataG2,DataH2,DataI2,UnitID2,BuffID2,EfctID2,targs3,Cast3,Dur3,HeroDur3,Cool3,Cost3,Area3,Rng3,DataA3,DataB3,DataC3,DataD3,DataE3,DataF3,DataG3,DataH3,DataI3,UnitID3,BuffID3,EfctID3,targs4,Cast4,Dur4,HeroDur4,Cool4,Cost4,Area4,Rng4,DataA4,DataB4,DataC4,DataD4,DataE4,DataF4,DataG4,DataH4,DataI4,UnitID4,BuffID4,EfctID4,InBeta
AHbz,AHbz,Arch Mage - Blizzard,0,1,1,0,hero,human,1,3,1,0,0,_,1,0,0,6,75,200,800,6,30,6,0.5,0,150,-,-,-,,"BHbd,BHbz",XHbz,_,1,0,0,6,75,200,800,8,40,7,0.5,0,200,-,-,-,,"BHbd,BHbz",XHbz,_,1,0,0,6,75,200,800,10,50,10,0.5,0,250,-,-,-,,"BHbd,BHbz",XHbz,_,1,0,0,6,75,200,800,10,50,10,0.5,0,250,-,-,-,,"BHbd,BHbz",XHbz,1
AHab,AHab,Arch Mage - Brilliance Aura,0,1,1,0,hero,human,1,3,1,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,-,900,-,0.75,0,-,-,-,-,-,-,-,,BHab,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,1.5,0,-,-,-,-,-,-,-,,BHab,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,2.25,0,-,-,-,-,-,-,-,,BHab,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,2.25,0,-,-,-,-,-,-,-,,BHab,,1
AHmt,AHmt,Arch Mage - Mass Teleport,0,1,1,0,hero,human,1,1,6,0,0,"ground,structure,vuln,invu,player,neutral,ally",0,0,0,20,100,700,99999,24,3,1,-,-,-,-,-,-,,,,"ground,structure,vuln,invu,player,neutral,ally",-,-,-,20,100,700,99999,12,5,1,-,-,-,-,-,-,,,,"ground,structure,vuln,invu,player,neutral,ally",-,-,-,20,100,700,99999,12,5,1,-,-,-,-,-,-,,,,"ground,structure,vuln,invu,player,neutral,ally",-,-,-,20,100,700,99999,12,5,1,-,-,-,-,-,-,,,,1
AHwe,AHwe,Arch Mage - Water Elemental,0,1,1,0,hero,human,1,3,1,0,0,_,0,60,60,20,125,200,-,1,-,-,-,-,-,-,-,-,hwat,BHwe,,_,-,60,60,20,125,200,-,1,-,-,-,-,-,-,-,-,hwt2,BHwe,,_,-,60,60,20,125,200,-,1,-,-,-,-,-,-,-,-,hwt3,BHwe,,_,-,60,60,20,125,200,-,1,-,-,-,-,-,-,-,-,hwt3,BHwe,,1
ANst,ANst,Beast Master - Stampede,1,1,1,0,hero,creeps,1,1,6,0,0,"ground,structure,debris,enemy,neutral",0,30,30,180,150,1000,300,2,55,60,275,0.2,-,-,-,-,,BNst,,"ground,structure,debris,enemy,neutral",0,20,20,180,200,600,1000,2,48,50,200,0.2,-,-,-,-,,BNst,,"ground,structure,debris,enemy,neutral",0,20,20,180,200,600,1000,2,48,50,200,0.2,-,-,-,-,,BNst,,"ground,structure,debris,enemy,neutral",0,20,20,180,200,600,1000,2,48,50,200,0.2,-,-,-,-,,BNst,,1
ANsg,ANsg,Beast Master - Summon Bear,1,1,1,0,hero,creeps,1,3,1,0,0,_,0,70,70,40,125,200,-,1,-,-,-,-,-,-,-,-,ngz1,BNsg,,_,0,70,70,40,125,200,-,1,-,-,-,-,-,-,-,-,ngz2,BNsg,,_,0,70,70,40,125,200,-,1,-,-,-,-,-,-,-,-,ngz3,BNsg,,_,0,70,70,40,125,200,-,1,-,-,-,-,-,-,-,-,ngz3,BNsg,,1
ANsq,ANsq,Beast Master - Summon Quilbeast,1,1,1,0,hero,creeps,1,3,1,0,0,_,0,70,70,25,75,200,-,1,-,-,-,-,-,-,-,-,nqb1,BNsq,,_,0,70,70,25,75,200,-,1,-,-,-,-,-,-,-,-,nqb2,BNsq,,_,0,70,70,25,75,200,-,1,-,-,-,-,-,-,-,-,nqb3,BNsq,,_,0,70,70,25,75,200,-,1,-,-,-,-,-,-,-,-,nqb3,BNsq,,1
ANsw,ANsw,Beast Master - Summon Hawk,1,1,1,0,hero,creeps,1,3,1,0,0,_,0,70,70,70,50,200,-,1,-,-,-,-,-,-,-,-,nwe1,BNsw,,_,0,70,70,70,50,200,-,1,-,-,-,-,-,-,-,-,nwe2,BNsw,,_,0,70,70,70,50,200,-,1,-,-,-,-,-,-,-,-,nwe3,BNsw,,_,0,70,70,70,50,200,-,1,-,-,-,-,-,-,-,-,nwe3,BNsw,,1
AOww,AOww,Blade Master - Bladestorm,0,1,1,0,hero,orc,1,1,6,0,0,"ground,structure,debris,enemy,neutral",0,7,5,180,200,200,-,110,0,-,-,-,-,-,-,-,,BOww,,"ground,structure,debris,enemy,neutral",-,5,5,240,250,200,-,150,0,-,-,-,-,-,-,-,,BOww,,"ground,structure,debris,enemy,neutral",-,5,5,240,250,200,-,150,0,-,-,-,-,-,-,-,,BOww,,"ground,structure,debris,enemy,neutral",-,5,5,240,250,200,-,150,0,-,-,-,-,-,-,-,,BOww,,1
AOcr,AOcr,Blade Master - Critical Strike,0,1,1,0,hero,orc,1,3,1,0,0,"air,ground,enemy,neutral",0,0,0,0,-,0,-,15,2,0,0,0,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,-,-,0,-,15,3,0,0,0,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,-,-,0,-,15,4,0,0,0,-,-,-,-,,,,"air,ground,enemy,neutral",-,-,-,-,-,0,-,15,4,0,0,0,-,-,-,-,,,,1
